,shcode,shname,target_m,date,close_ratio,min_target,max_target,close,spot_range,check,inrange,squeezed,volume_default
1,000140,하이트진로홀딩스,201907,20190730,0.004166666666666652,9310,12000,12050,1.0185873605947955,False,False,True,False
2,000140,하이트진로홀딩스,201907,20190731,-0.11618257261410792,9310,12000,10650,0.49814126394052044,False,True,False,False
3,000140,하이트진로홀딩스,201907,20190801,-0.06572769953051638,9310,12000,9950,0.2379182156133829,False,True,False,False
4,000140,하이트진로홀딩스,201907,20190802,0.045226130653266416,9310,12000,10400,0.4052044609665427,False,True,True,False
5,000140,하이트진로홀딩스,201907,20190805,0.17307692307692313,9310,12000,12200,1.0743494423791822,False,False,False,False
6,000140,하이트진로홀딩스,201907,20190806,0.012295081967213184,9310,12000,12350,1.1301115241635689,False,False,False,False
7,000140,하이트진로홀딩스,201907,20190807,-0.06477732793522262,9310,12000,11550,0.8327137546468402,False,True,False,False
8,000140,하이트진로홀딩스,201907,20190808,-0.051948051948051965,9310,12000,10950,0.6096654275092936,False,True,False,False
9,000140,하이트진로홀딩스,201907,20190809,-0.0091324200913242,9310,12000,10850,0.5724907063197026,False,True,True,False
10,000140,하이트진로홀딩스,201907,20190812,0.009216589861751112,9310,12000,10950,0.6096654275092936,False,True,True,False
11,000140,하이트진로홀딩스,201907,20190813,-0.0365296803652968,9310,12000,10550,0.46096654275092935,False,True,False,False
12,000140,하이트진로홀딩스,201907,20190814,0.0,9310,12000,10550,0.46096654275092935,False,True,True,False
13,000140,하이트진로홀딩스,201907,20190816,-0.042654028436018954,9310,12000,10100,0.2936802973977695,False,True,False,False
14,000140,하이트진로홀딩스,201907,20190819,0.004950495049504955,9310,12000,10150,0.31226765799256506,True,True,True,True
15,000140,하이트진로홀딩스,201907,20190820,-0.0049261083743842304,9310,12000,10100,0.2936802973977695,True,True,True,True
16,000140,하이트진로홀딩스,201907,20190821,0.01980198019801982,9310,12000,10300,0.3680297397769517,False,True,True,False
17,000140,하이트진로홀딩스,201907,20190822,0.0,9310,12000,10300,0.3680297397769517,True,True,True,True
18,000140,하이트진로홀딩스,201907,20190823,0.029126213592232997,9310,12000,10600,0.4795539033457249,False,True,True,False
19,000140,하이트진로홀딩스,201907,20190826,-0.028301886792452824,9310,12000,10300,0.3680297397769517,False,True,True,False
1,000890,보해양조,201905,20190516,0.0,1205,1550,1550,1.0,False,True,True,False
2,000890,보해양조,201905,20190517,-0.029032258064516148,1205,1550,1505,0.8695652173913043,False,True,True,False
3,000890,보해양조,201905,20190520,0.07973421926910307,1205,1550,1625,1.2173913043478262,False,False,False,False
4,000890,보해양조,201905,20190521,0.01538461538461533,1205,1550,1650,1.289855072463768,False,False,True,False
5,000890,보해양조,201905,20190522,-0.19393939393939397,1205,1550,1330,0.36231884057971014,False,True,False,False
6,000890,보해양조,201905,20190523,-0.022556390977443663,1205,1550,1300,0.2753623188405797,False,True,True,False
7,000890,보해양조,201905,20190524,0.01538461538461533,1205,1550,1320,0.3333333333333333,False,True,True,False
8,000890,보해양조,201905,20190527,0.015151515151515138,1205,1550,1340,0.391304347826087,False,True,True,False
9,000890,보해양조,201905,20190528,0.003731343283582156,1205,1550,1345,0.4057971014492754,False,True,True,False
10,000890,보해양조,201905,20190529,-0.022304832713754608,1205,1550,1315,0.3188405797101449,False,True,True,False
11,000890,보해양조,201905,20190530,-0.03041825095057038,1205,1550,1275,0.2028985507246377,False,True,True,False
12,000890,보해양조,201905,20190531,-0.0039215686274509665,1205,1550,1270,0.18840579710144928,False,True,True,False
13,000890,보해양조,201905,20190603,0.015748031496062964,1205,1550,1290,0.2463768115942029,False,True,True,False
14,000890,보해양조,201905,20190604,-0.03875968992248058,1205,1550,1240,0.10144927536231885,False,True,True,False
15,000890,보해양조,201905,20190605,0.0040322580645162365,1205,1550,1245,0.11594202898550725,False,True,True,False
16,000890,보해양조,201905,20190607,0.012048192771084265,1205,1550,1260,0.15942028985507245,False,True,True,False
17,000890,보해양조,201905,20190610,0.031746031746031855,1205,1550,1300,0.2753623188405797,False,True,True,False
18,000890,보해양조,201905,20190611,0.026923076923076827,1205,1550,1335,0.37681159420289856,False,True,True,False
19,000890,보해양조,201905,20190612,-0.014981273408239737,1205,1550,1315,0.3188405797101449,False,True,True,False
1,001140,카리스국보,201903,20190314,-0.07509157509157505,30150,27300,25250,1.719298245614035,False,False,False,False
2,001140,카리스국보,201903,20190315,-0.09504950495049502,30150,27300,22850,2.56140350877193,False,False,False,False
3,001140,카리스국보,201903,20190318,0.29978118161925593,30150,27300,29700,0.15789473684210525,False,False,False,False
4,001140,카리스국보,201903,20190319,-0.101010101010101,30150,27300,26700,1.2105263157894737,False,False,False,False
5,001140,카리스국보,201903,20190320,-0.13108614232209737,30150,27300,23200,2.43859649122807,False,False,False,False
6,001140,카리스국보,201903,20190321,-0.008620689655172376,30150,27300,23000,2.508771929824561,False,False,True,False
7,001140,카리스국보,201903,20190322,-0.03260869565217395,30150,27300,22250,2.7719298245614037,False,False,False,False
8,001140,카리스국보,201903,20190325,-0.01573033707865168,30150,27300,21900,2.8947368421052633,False,False,True,False
9,001140,카리스국보,201903,20190326,0.04566210045662111,30150,27300,22900,2.543859649122807,False,False,True,False
10,001140,카리스국보,201903,20190327,-0.0393013100436681,30150,27300,22000,2.8596491228070176,False,False,False,False
11,001140,카리스국보,201903,20190328,-0.045454545454545414,30150,27300,21000,3.210526315789474,False,False,False,False
12,001140,카리스국보,201903,20190329,0.016666666666666607,30150,27300,21350,3.087719298245614,False,False,False,False
13,001140,카리스국보,201903,20190401,0.016393442622950838,30150,27300,21700,2.9649122807017543,False,False,True,False
14,001140,카리스국보,201903,20190402,-0.016129032258064502,30150,27300,21350,3.087719298245614,False,False,True,False
15,001140,카리스국보,201903,20190403,-0.0023419203747072626,30150,27300,21300,3.1052631578947367,False,False,True,True
16,001140,카리스국보,201903,20190404,0.028169014084507005,30150,27300,21900,2.8947368421052633,False,False,True,False
17,001140,카리스국보,201903,20190405,0.06621004566210043,30150,27300,23350,2.3859649122807016,False,False,False,False
18,001140,카리스국보,201903,20190408,-0.025695931477516032,30150,27300,22750,2.5964912280701755,False,False,True,False
19,001140,카리스국보,201903,20190409,0.03956043956043964,30150,27300,23650,2.280701754385965,False,False,True,False
20,001140,카리스국보,201903,20190410,-0.010570824524312905,30150,27300,23400,2.3684210526315788,False,False,True,False
1,001340,백광산업,201909,20190918,-0.032733224222585955,2895,3055,2955,0.375,False,True,False,False
2,001340,백광산업,201909,20190919,-0.045685279187817285,2895,3055,2820,-0.46875,False,False,True,False
3,001340,백광산업,201909,20190920,-0.019503546099290725,2895,3055,2765,-0.8125,False,False,True,False
4,001340,백광산업,201909,20190923,0.003616636528029016,2895,3055,2775,-0.75,False,False,True,False
5,001340,백광산업,201909,20190924,0.007207207207207134,2895,3055,2795,-0.625,False,False,False,False
6,001340,백광산업,201909,20190925,0.0017889087656528524,2895,3055,2800,-0.59375,False,False,True,False
7,001340,백광산업,201909,20190926,-0.025000000000000022,2895,3055,2730,-1.03125,False,False,True,False
8,001340,백광산업,201909,20190927,-0.016483516483516536,2895,3055,2685,-1.3125,False,False,True,False
1,001745,SK네트웍스우,201904,20190419,-0.07333333333333336,105000,150000,139000,0.7555555555555555,False,True,True,False
2,001745,SK네트웍스우,201904,20190422,0.05395683453237421,105000,150000,146500,0.9222222222222223,False,True,False,False
3,001745,SK네트웍스우,201904,20190423,-0.05460750853242324,105000,150000,138500,0.7444444444444445,False,True,False,False
4,001745,SK네트웍스우,201904,20190424,-0.13718411552346566,105000,150000,119500,0.32222222222222224,False,True,False,False
5,001745,SK네트웍스우,201904,20190425,-0.09623430962343094,105000,150000,108000,0.06666666666666667,False,True,False,False
6,001745,SK네트웍스우,201904,20190426,-0.00462962962962965,105000,150000,107500,0.05555555555555555,False,True,False,False
7,001745,SK네트웍스우,201904,20190429,-0.06046511627906981,105000,150000,101000,-0.08888888888888889,False,False,False,False
8,001745,SK네트웍스우,201904,20190430,0.01980198019801982,105000,150000,103000,-0.044444444444444446,False,False,True,False
9,001745,SK네트웍스우,201904,20190502,-0.058252427184465994,105000,150000,97000,-0.17777777777777778,False,False,False,True
10,001745,SK네트웍스우,201904,20190503,0.017525773195876226,105000,150000,98700,-0.14,False,False,True,False
11,001745,SK네트웍스우,201904,20190507,-0.09726443768996962,105000,150000,89100,-0.35333333333333333,False,False,False,True
12,001745,SK네트웍스우,201904,20190508,0.2962962962962963,105000,150000,115500,0.23333333333333334,False,True,False,False
13,001745,SK네트웍스우,201904,20190509,-0.1515151515151515,105000,150000,98000,-0.15555555555555556,False,False,False,False
14,001745,SK네트웍스우,201904,20190510,-0.0357142857142857,105000,150000,94500,-0.23333333333333334,False,False,False,False
15,001745,SK네트웍스우,201904,20190513,-0.05291005291005291,105000,150000,89500,-0.34444444444444444,False,False,False,False
16,001745,SK네트웍스우,201904,20190514,-0.027932960893854775,105000,150000,87000,-0.4,False,False,True,False
17,001745,SK네트웍스우,201904,20190515,-0.005747126436781658,105000,150000,86500,-0.4111111111111111,False,False,True,True
18,001745,SK네트웍스우,201904,20190516,0.005780346820809301,105000,150000,87000,-0.4,False,False,True,False
1,002070,남영비비안,201907,20190726,0.2977346278317152,13250,15450,20050,3.090909090909091,False,False,False,False
2,002070,남영비비안,201907,20190729,0.29925187032418954,13250,15450,26050,5.818181818181818,False,False,False,False
3,002070,남영비비안,201907,20190730,0.0,13250,15450,26050,5.818181818181818,False,False,True,True
4,002070,남영비비안,201907,20190731,0.29942418426103656,13250,15450,33850,9.363636363636363,False,False,False,False
5,002070,남영비비안,201907,20190801,-0.18316100443131467,13250,15450,27650,6.545454545454546,False,False,False,False
6,002070,남영비비안,201907,20190802,0.016274864376130127,13250,15450,28100,6.75,False,False,False,False
7,002070,남영비비안,201907,20190805,-0.06049822064056942,13250,15450,26400,5.9772727272727275,False,False,False,False
8,002070,남영비비안,201907,20190806,-0.15530303030303028,13250,15450,22300,4.113636363636363,False,False,False,False
9,002070,남영비비안,201907,20190807,0.022421524663677195,13250,15450,22800,4.340909090909091,False,False,False,False
10,002070,남영비비안,201907,20190808,0.03508771929824572,13250,15450,23600,4.704545454545454,False,False,False,False
11,002070,남영비비안,201907,20190809,-0.006355932203389814,13250,15450,23450,4.636363636363637,False,False,True,False
12,002070,남영비비안,201907,20190812,0.01279317697228155,13250,15450,23750,4.7727272727272725,False,False,True,False
13,002070,남영비비안,201907,20190813,-0.06736842105263163,13250,15450,22150,4.045454545454546,False,False,False,False
14,002070,남영비비안,201907,20190814,0.02483069977426644,13250,15450,22700,4.295454545454546,False,False,True,False
15,002070,남영비비안,201907,20190816,0.026431718061673992,13250,15450,23300,4.568181818181818,False,False,False,False
16,002070,남영비비안,201907,20190819,-0.023605150214592308,13250,15450,22750,4.318181818181818,False,False,True,False
17,002070,남영비비안,201907,20190820,0.01758241758241752,13250,15450,23150,4.5,False,False,True,False
18,002070,남영비비안,201907,20190821,-0.023758099352051865,13250,15450,22600,4.25,False,False,False,False
19,002070,남영비비안,201907,20190822,-0.19469026548672563,13250,15450,18200,2.25,False,False,False,False
1,002070,남영비비안,201907,20190729,0.29925187032418954,16450,20050,26050,2.6666666666666665,False,False,False,False
2,002070,남영비비안,201907,20190730,0.0,16450,20050,26050,2.6666666666666665,False,False,True,True
3,002070,남영비비안,201907,20190731,0.29942418426103656,16450,20050,33850,4.833333333333333,False,False,False,False
4,002070,남영비비안,201907,20190801,-0.18316100443131467,16450,20050,27650,3.111111111111111,False,False,False,False
