,index,shcode,shname,target_day,date,open,high,low,close,volume,deal_f,burn_ratio,rotate_ratio,for_net_buy,com_net_buy,per_net_buy,ma5_score,ma20_score,ma5_20_score
17,0,000140,하이트진로홀딩스,20190729,20180228,10200,10500,9460,9480,305,54.44,4.73,1.31,-14495,-31643,44615,1.0,0.7,1.0
18,0,000140,하이트진로홀딩스,20190729,20180330,9490,9900,9210,9740,165,64.81,4.74,0.71,1811,2411,-6845,1.0,0.7,1.0
19,0,000140,하이트진로홀딩스,20190729,20180430,9800,10050,9430,9450,259,104.97,4.43,1.12,-76610,-20102,98370,1.0,0.7,1.0
20,0,000140,하이트진로홀딩스,20190729,20180531,9490,9790,9340,9370,297,69.69,4.33,1.28,-22762,-298,22836,1.0,0.7,1.0
21,0,000140,하이트진로홀딩스,20190729,20180629,9440,9590,8590,8680,208,45.11,4.28,0.9,-15546,-2075,19263,1.0,0.7,1.0
22,0,000140,하이트진로홀딩스,20190729,20180731,8680,8760,8090,8440,112,54.84,4.22,0.48,-15131,-1096,16729,1.0,0.7,1.0
23,0,000140,하이트진로홀딩스,20190729,20180831,8500,8540,7860,8000,136,76.39,4.12,0.59,-23461,-717,23488,1.0,0.7,1.0
24,0,000140,하이트진로홀딩스,20190729,20180928,8000,8160,7780,8000,141,37.3,4.1,0.61,-6246,-11916,19880,1.0,0.7,1.0
25,0,000140,하이트진로홀딩스,20190729,20181031,8000,8150,6400,6550,157,45.14,4.11,0.68,3605,-3675,-2384,1.0,0.7,1.0
26,0,000140,하이트진로홀딩스,20190729,20181130,6530,7340,6460,7230,169,91.53,4.1,0.73,-2017,1822,-6557,1.0,0.7,1.0
27,0,000140,하이트진로홀딩스,20190729,20181228,7230,7250,6810,7010,89,48.53,4.07,0.39,-6768,7332,-30518,1.0,0.7,1.0
28,0,000140,하이트진로홀딩스,20190729,20190131,7010,7970,6890,7770,157,118.77,4.07,0.67,-3056,35279,-32294,1.0,0.7,1.0
29,0,000140,하이트진로홀딩스,20190729,20190228,7800,8010,7450,7770,726,134.32,6.59,3.13,584293,17763,-13162,1.0,0.7,1.0
30,0,000140,하이트진로홀딩스,20190729,20190329,7790,8110,7670,8100,134,57.32,6.57,0.58,-6992,10002,-645,1.0,0.7,1.0
31,0,000140,하이트진로홀딩스,20190729,20190430,8100,10650,7930,9190,1089,85.11,6.54,4.69,-5332,20960,-14897,1.0,0.7,1.0
32,0,000140,하이트진로홀딩스,20190729,20190531,9280,9600,8790,8920,300,75.28,6.46,1.29,-19162,78403,-58087,1.0,0.7,1.0
33,0,000140,하이트진로홀딩스,20190729,20190628,8860,9580,8860,9080,222,112.28,6.37,0.96,-54521,84397,-28870,1.0,0.7,1.0
34,0,000140,하이트진로홀딩스,20190729,20190731,9060,14150,8910,10650,25359,89.23,5.41,109.28,-271737,62261,314259,1.0,0.7,1.0
35,0,000140,하이트진로홀딩스,20190729,20190830,10650,13450,9820,10350,23332,84.95,4.99,100.54,-269762,209585,50145,1.0,0.7,1.0
36,0,000140,하이트진로홀딩스,20190729,20190930,10450,11700,10300,11200,2504,93.65,5.5,10.79,160192,176897,-333012,1.0,0.7,1.0
17,1,000890,보해양조,20190515,20171130,1045,1180,1015,1025,47461,81.17,1.7,49.15,-162443,4786,158763,0.5,1.0,0.5
18,1,000890,보해양조,20190515,20171228,1025,1120,927,976,16648,72.72,2.15,17.24,545785,956,-544670,0.5,1.0,0.5
19,1,000890,보해양조,20190515,20180131,990,1055,954,1020,13092,80.02,3.16,13.56,881391,5024,-929390,0.5,1.0,0.5
20,1,000890,보해양조,20190515,20180228,1020,1095,955,1075,21896,88.94,3.47,22.67,307376,-3613,-323477,0.5,1.0,0.5
21,1,000890,보해양조,20190515,20180330,1055,1215,1005,1085,32819,81.02,4.24,33.98,698164,3825,-700547,0.5,1.0,0.5
22,1,000890,보해양조,20190515,20180430,1080,1235,1060,1125,33337,78.67,5.34,34.52,1357720,62459,-1453233,0.5,1.0,0.5
23,1,000890,보해양조,20190515,20180531,1130,1180,971,991,21975,60.16,4.84,22.76,-501790,-111524,662722,0.5,1.0,0.5
24,1,000890,보해양조,20190515,20180629,992,995,882,891,8955,46.59,4.04,9.27,-675698,-39136,708604,0.5,1.0,0.5
25,1,000890,보해양조,20190515,20180731,892,894,825,849,6113,56.59,3.71,6.33,-318690,-36576,347830,0.5,1.0,0.5
26,1,000890,보해양조,20190515,20180831,845,1030,775,878,85045,90.46,1.64,88.06,-1273029,-205271,1412643,0.5,1.0,0.5
27,1,000890,보해양조,20190515,20180928,876,908,811,857,17463,62.32,1.86,18.08,311145,-14440,-241033,0.5,1.0,0.5
28,1,000890,보해양조,20190515,20181031,856,1345,823,1150,482983,99.49,1.34,500.14,-441094,-1038123,1467246,0.5,1.0,0.5
29,1,000890,보해양조,20190515,20181130,1160,1480,1110,1270,282515,94.49,2.02,292.55,648022,-32846,-969923,0.5,1.0,0.5
30,1,000890,보해양조,20190515,20181228,1265,2490,1245,1890,770510,99.67,2.22,797.87,335739,89218,17562,0.5,1.0,0.5
31,1,000890,보해양조,20190515,20190131,2025,2450,1770,1990,516481,91.57,1.32,534.82,-1063598,475385,581963,0.5,1.0,0.5
32,1,000890,보해양조,20190515,20190228,1990,2095,1620,1630,129410,81.2,1.02,134.01,-847101,154907,666873,0.5,1.0,0.5
33,1,000890,보해양조,20190515,20190329,1625,1855,1485,1555,70244,84.54,3.73,72.74,3001570,349486,-3260663,0.5,1.0,0.5
34,1,000890,보해양조,20190515,20190430,1540,1735,1325,1380,93331,86.19,3.26,96.65,-806923,-197563,1144578,0.5,1.0,0.5
35,1,000890,보해양조,20190515,20190531,1385,1795,1075,1270,471379,92.98,3.3,415.71,15359,-14322424,14978841,0.5,1.0,0.5
36,1,000890,보해양조,20190515,20190628,1285,1390,1215,1280,81816,83.63,3.81,71.67,1571476,-499647,-1275697,0.5,1.0,0.5
17,2,001140,카리스국보,20190313,20170929,11250,11500,9130,9560,412,42.74,0.42,24.46,-10825,-978,12215,0.5,0.7,0.5
18,2,001140,카리스국보,20190313,20171031,9600,10500,9260,10200,219,86.48,0.44,13.03,197,-3477,3280,0.5,0.7,0.5
19,2,001140,카리스국보,20190313,20171130,10300,10400,9210,9600,212,53.66,0.7,12.58,4521,-354,-5629,0.5,0.7,0.5
20,2,001140,카리스국보,20190313,20171228,9590,10800,9150,9380,579,70.6,0.19,34.42,-2169,-149,11000,0.5,0.7,0.5
21,2,001140,카리스국보,20190313,20180131,9360,10200,9070,9950,332,72.73,1.02,19.71,6929,8496,-14822,0.5,0.7,0.5
22,2,001140,카리스국보,20190313,20180228,9890,12150,9770,11250,1692,79.21,0.5,100.6,-5424,47697,-42755,0.5,0.7,0.5
23,2,001140,카리스국보,20190313,20180330,11400,11850,10100,10900,478,63.11,0.65,28.42,1627,38657,-40675,0.5,0.7,0.5
24,2,001140,카리스국보,20190313,20180430,10800,12800,10450,12200,773,80.27,1.86,45.94,20197,-43017,22646,0.5,0.7,0.5
25,2,001140,카리스국보,20190313,20180531,12250,24300,11950,19800,4090,87.98,0.65,243.09,-27086,-51658,80439,0.5,0.7,0.5
26,2,001140,카리스국보,20190313,20180629,20000,35900,15650,16600,4080,67.19,1.48,242.53,21669,992,-25840,0.5,0.7,0.5
27,2,001140,카리스국보,20190313,20180731,16450,16600,12250,14000,1294,71.91,4.54,76.9,51037,8,-50116,0.5,0.7,0.5
28,2,001140,카리스국보,20190313,20180831,13950,15650,13200,13500,674,68.74,3.46,40.06,-18060,130,17902,0.5,0.7,0.5
29,2,001140,카리스국보,20190313,20180928,13700,17300,13300,14800,1044,86.02,4.04,62.04,7932,102,-7618,0.5,0.7,0.5
30,2,001140,카리스국보,20190313,20181031,14800,15350,9130,10300,407,44.69,4.34,24.18,3567,166,-5139,0.5,0.7,0.5
31,2,001140,카리스국보,20190313,20181130,10650,13350,9920,12600,1146,86.41,2.62,68.11,-28211,37,30599,0.5,0.7,0.5
32,2,001140,카리스국보,20190313,20181228,12600,14100,10600,11350,430,57.17,3.32,25.59,11793,3432,-19414,0.5,0.7,0.5
33,2,001140,카리스국보,20190313,20190131,11350,14150,11000,13000,564,75.43,3.66,33.52,5287,2090,-6524,0.5,0.7,0.5
34,2,001140,카리스국보,20190313,20190228,12900,15150,12000,12450,908,67.82,3.14,53.98,-8736,-6602,18432,0.5,0.7,0.5
35,2,001140,카리스국보,20190313,20190329,12300,30150,12150,21350,6266,82.88,0.68,372.46,-37943,2829,-5144,0.5,0.7,0.5
36,2,001140,카리스국보,20190313,20190430,21150,25150,20500,23550,1672,74.74,1.02,99.38,6132,-2832,8972,0.5,0.7,0.5
16,3,001340,백광산업,20190917,20180330,2835,3615,2685,3515,18460,109.39,2.01,41.1,151631,387051,-402096,0.15,0.15,0.15
17,3,001340,백광산업,20190917,20180430,3495,3600,3220,3430,8084,70.86,1.64,18.0,-173202,-362021,589719,0.15,0.15,0.15
18,3,001340,백광산업,20190917,20180531,3420,4170,3410,3945,9033,83.3,3.23,20.11,713853,-371890,-152162,0.15,0.15,0.15
19,3,001340,백광산업,20190917,20180629,3930,3935,3260,3330,4318,52.29,4.08,9.61,381242,-73326,-304001,0.15,0.15,0.15
20,3,001340,백광산업,20190917,20180731,3285,3330,2890,3050,2813,65.76,3.67,6.26,-183380,-290618,426068,0.15,0.15,0.15
21,3,001340,백광산업,20190917,20180831,3050,3180,2800,2870,2563,54.38,3.55,5.71,-52115,-58413,-55649,0.15,0.15,0.15
22,3,001340,백광산업,20190917,20180928,2870,3190,2795,3145,4437,84.17,3.68,9.88,55879,81792,-29790,0.15,0.15,0.15
23,3,001340,백광산업,20190917,20181031,3180,3260,2155,2325,5504,55.1,2.71,12.25,-440878,-73016,503603,0.15,0.15,0.15
24,3,001340,백광산업,20190917,20181130,2345,2575,2290,2530,3340,56.44,2.81,7.44,78026,2661,-137414,0.15,0.15,0.15
25,3,001340,백광산업,20190917,20181228,2530,2770,2390,2490,2549,71.23,2.81,5.67,-15253,-97860,152867,0.15,0.15,0.15
26,3,001340,백광산업,20190917,20190131,2500,2940,2340,2780,10348,79.36,3.26,23.04,181791,-137778,149875,0.15,0.15,0.15
27,3,001340,백광산업,20190917,20190228,2810,3090,2705,2775,8991,74.7,3.44,20.02,80713,41690,-195955,0.15,0.15,0.15
