,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,shcode2,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2
0,000080,20190424,1.0,종       합,421.0,日 불매운동 관련주,하이트진로,201904,20190708,000140,0,20180501,20190424,20180430,20190331,20180928,20190419,20190414
1,000140,20190708,1.0,종       합,421.0,日 불매운동 관련주,하이트진로홀딩스,201907,20190729,000140,1,20180801,20190708,20180731,20190630,20181214,20190705,20190628
2,000140,20190729,1.0,종       합,421.0,日 불매운동 관련주,하이트진로홀딩스,201907,20190416,000150,0,20180801,20190729,20180731,20190630,20190104,20190726,20190719
3,000150,20190416,1.0,종       합,111.0,지주사,두산,201904,20190726,000150,0,20180501,20190416,20180430,20190331,20180921,20190412,20190406
4,000150,20190726,1.0,종       합,111.0,지주사,두산,201907,20191106,000230,0,20180801,20190726,20180731,20190630,20181228,20190719,20190716
5,000230,20191106,1.0,종       합,111.0,지주사,일동홀딩스,201911,20190510,000300,0,20181201,20191106,20181130,20191031,20190412,20191101,20191027
6,000300,20190510,1.0,종       합,242.0,탄소나노튜브(CNT),대유플러스,201905,20190725,000390,0,20180601,20190510,20180531,20190430,20181012,20190503,20190430
7,000390,20190725,1.0,종       합,330.0,페인트,삼화페인트,201907,20190903,000400,0,20180801,20190725,20180731,20190630,20181228,20190719,20190715
8,000400,20190903,1.0,종       합,164.0,손해보험,롯데손해보험,201909,20190212,000430,0,20181001,20190903,20180930,20190831,20190208,20190830,20190824
9,000430,20190212,1.0,종       합,386.0,수소차,대원강업,201902,20190226,000430,1,20180301,20190212,20180228,20190131,20180720,20190208,20190202
10,000430,20190226,1.0,종       합,386.0,수소차,대원강업,201902,20190423,000885,0,20180301,20190226,20180228,20190131,20180803,20190222,20190216
11,000885,20190423,8.0,화       학,,,한화우,201904,20190430,000885,1,20180501,20190423,20180430,20190331,20180928,20190419,20190413
12,000885,20190430,8.0,화       학,,,한화우,201904,20190927,000885,0,20180501,20190430,20180430,20190331,20181005,20190426,20190420
13,000885,20190927,8.0,화       학,,,한화우,201909,20190403,000890,0,20181001,20190927,20180930,20190831,20190301,20190920,20190917
14,000890,20190403,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201904,20190515,000890,0,20180501,20190403,20180430,20190331,20180907,20190329,20190324
15,000890,20190515,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201905,20190520,000890,1,20180601,20190515,20180531,20190430,20181019,20190510,20190505
16,000890,20190520,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201905,20190905,000890,0,20180601,20190520,20180531,20190430,20181026,20190517,20190510
17,000890,20190905,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201909,20190114,000910,0,20181001,20190905,20180930,20190831,20190208,20190830,20190826
18,000910,20190114,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201901,20190115,000910,1,20180201,20190114,20180131,20181231,20180622,20190111,20190104
19,000910,20190115,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201901,20190513,000910,0,20180201,20190115,20180131,20181231,20180622,20190111,20190105
20,000910,20190513,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190521,000910,1,20180601,20190513,20180531,20190430,20181019,20190510,20190503
21,000910,20190521,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190522,000910,1,20180601,20190521,20180531,20190430,20181026,20190517,20190511
22,000910,20190522,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190523,000910,1,20180601,20190522,20180531,20190430,20181026,20190517,20190512
23,000910,20190523,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201905,20190808,000910,0,20180601,20190523,20180531,20190430,20181026,20190517,20190513
24,000910,20190808,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201908,20190809,000910,1,20180901,20190808,20180831,20190731,20190111,20190802,20190729
25,000910,20190809,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201908,20190812,000910,1,20180901,20190809,20180831,20190731,20190111,20190802,20190730
26,000910,20190812,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201908,20190618,000970,0,20180901,20190812,20180831,20190731,20190118,20190809,20190802
27,000970,20190618,4.0,소   형  주,223.0,강관업체(Steel pipe),한국주철관,201906,20190619,000970,1,20180701,20190618,20180630,20190531,20181123,20190614,20190608
28,000970,20190619,4.0,소   형  주,223.0,강관업체(Steel pipe),한국주철관,201906,20190621,000970,1,20180701,20190619,20180630,20190531,20181123,20190614,20190609
29,000970,20190621,4.0,소   형  주,223.0,강관업체(Steel pipe),한국주철관,201906,20190419,000990,0,20180701,20190621,20180630,20190531,20181123,20190614,20190611
