,shcode,index
0,000140,141
1,000890,89
2,001140,46
3,001340,174
4,001550,84 91
5,001745,72
6,001820,132
7,002070,139 140
8,002140,107 115 168
9,002150,10
10,002210,77 79
11,002320,64
12,002360,173
13,002450,148
14,002700,92
15,002720,56
16,002780,82 107
17,002995,72
18,003010,11
19,003495,66
20,003560,25
21,003850,53
22,004060,108
23,004270,88
24,004720,2
25,004770,170
26,004830,124
27,004870,158
28,004980,20
29,005110,32 173
30,005320,117
31,005360,126
32,005390,126
33,005420,19
34,005690,16
35,005740,24
36,006090,154
37,006890,137
38,006980,50 75 174
39,007110,113 171
40,007210,171
41,007460,43
42,007540,85 146
43,008040,33
44,008350,90
45,008420,3
46,008700,82
47,008730,139
48,008775,163
49,009290,116
50,009320,111 179
51,009410,15 97
52,009680,12 46
53,010100,169 176
54,010420,119
55,010660,119
56,011150,70 74 153
57,011280,83 84
58,011390,171
59,012160,26
60,012450,152
61,012610,140
62,012690,147
63,012800,78 85
64,013700,21
65,014130,70
66,014580,101 103 105 150 175 177
67,014820,72
68,014910,8
69,014990,91
70,016740,52
71,017550,78
72,017900,49
73,017940,46
74,020120,122
75,020560,68 70
76,021050,78 86
77,023350,10
78,023800,13
79,025560,114 138
80,026890,161
81,027740,72 175
82,030720,147
83,030790,63
84,031820,111
85,032560,10
86,033250,102 177
87,036580,180
88,037560,24
89,068290,6
90,070960,21 22
91,074610,94
92,078520,32
93,081000,134
94,084680,90 148
95,084870,147
96,090370,65
97,092780,13
98,093370,123
99,096760,132
100,097230,75
101,100220,88
102,102280,142
103,105840,23 158
104,119650,43
105,133820,2 78
106,138490,135
107,144620,12
108,155660,30
109,180640,64
110,192650,32
111,234080,56
112,267850,67 100
113,271980,2
114,298690,67 68 124
115,000440,174
116,005290,121
117,005860,75 174 180
118,007720,10
119,009520,152
120,010170,81
121,010240,27
122,011320,111
123,012700,141
124,013310,134
125,014100,147
126,014190,166
127,014470,34 35 102
128,014970,118
129,016790,75 174
130,018620,101 175 181
131,018700,98
132,019540,127
133,019550,27
134,023770,123
135,023900,111
136,024060,11 55 174
137,024740,48
138,024840,5
139,024950,131
140,025320,158
141,025880,182
142,026150,4
143,027050,151
144,027710,174 180
145,030960,142
146,031330,106
147,032280,74
148,033130,90
149,033320,117 152
150,033340,121
151,033430,16
152,035620,98
153,035810,174
154,036120,87 117
155,036200,11
156,036540,74
157,037030,161
158,037070,41 97
159,037230,39
160,037370,13
161,037460,89
162,038160,118
163,038530,31
164,038620,4
165,038680,73 104
166,038880,83
167,039610,178
168,039670,112
169,039830,5
170,040610,108
171,040910,134
172,041140,2
173,041910,181
174,041920,138
175,041930,35 119
176,041960,103
177,042110,28
178,042510,33
179,043100,13
180,044780,118
181,044960,72 101 102 175
182,045390,22 171
183,045520,44
184,045660,92
185,046390,70
186,047560,110
187,047770,147
188,047820,175
189,047920,62
190,048410,51 52 118
191,048770,114
192,048830,6
193,049080,65
194,049180,51 157
195,049480,107 109 167
196,050090,90
197,050120,24 86
198,051370,71
199,052420,128 163
200,052600,55
201,052670,19 101
202,052900,124
203,053270,13
204,054300,31
205,054670,103
206,054780,69
207,054930,11
208,054940,84
209,056700,89 90
210,057030,168
211,057500,28 124
212,058400,106 107
213,058530,46
214,058630,122
215,060240,130
216,060310,126
217,060590,175
218,060720,105
219,063440,71
220,064260,151
221,064820,69
222,065170,40 71
223,065450,38 42
224,065500,85 86
225,065510,57
226,065530,65 166
227,065950,39
228,066130,16 41
229,066360,75
230,066430,134
231,066700,39
232,067170,160
233,067630,121
234,068330,44
235,071460,41
236,072020,174
237,073110,95
238,073540,166
239,075130,113
240,077360,89
241,078130,76
242,078140,53
243,078590,128
244,081150,94
245,083640,95 97
246,086060,103 177
247,086250,111
248,087260,57 179
249,089970,63
250,090410,28
251,091340,166
252,092870,172
253,093380,2 27 92 168
254,094360,61
255,094940,162
256,095610,27
257,096350,117
258,099440,59
259,100590,167
260,100660,127
261,102120,21
262,104040,42
263,104480,76
264,105740,47
265,108230,11 12
266,108490,54
267,111870,67
268,114120,70
269,115440,110 154
270,117730,19
271,121800,60 117 118
272,122350,13
273,123410,179
274,123840,14
275,130500,85
276,131090,33
277,131180,121
278,136480,174 175
279,136510,138
280,137950,164
281,140520,61
282,140670,155
283,147760,123
284,150840,49
285,153710,6
286,154040,84
287,159580,92
288,168330,66
289,170030,63
290,171010,123
291,171090,133
292,178320,61
293,179290,29 139
294,179900,32 129
295,189860,5
296,192250,33 71
297,192440,46
298,195990,129
299,198440,20 105
300,203650,33 112
301,205100,66
302,206560,7 8 70
303,207760,120 124
304,208350,118
305,208640,17 52
306,214150,89 142
307,214270,31 105
308,214680,18 94
309,215100,54 96
310,215380,14
311,215480,37 89
312,215790,17
313,217500,123
314,217600,133
315,218150,73 160 182
316,220180,69
317,220260,123 126
318,222420,99
319,222810,27
320,224060,36
321,225430,14 81
322,225570,87
323,226360,177
324,230240,63
325,234100,12
326,250000,143
327,250060,59 60 109 156
328,256630,110 134
329,256840,157
330,257370,140
331,263690,40
332,264660,156
333,269620,56
334,285490,99 102
335,290120,86
336,290270,36 110
337,290380,8
338,299900,3
339,303030,78 136
340,308100,23
341,317850,33
342,900040,69
343,900100,5 42
344,900250,34
345,900260,30
346,900270,36
347,900340,35 164 165
