,shcode,index
0,000140,20190729
1,000890,20190515
2,001140,20190313
3,001340,20190917
4,001550,20190508 20190517
5,001745,20190418
6,001820,20190716
7,002070,20190725 20190726
8,002140,20190611 20190621 20190905
9,002150,20190116
10,002210,20190425 20190429
11,002320,20190408
12,002360,20190916
13,002450,20190807
14,002700,20190520
15,002720,20190327
16,002780,20190503 20190611
17,002995,20190418
18,003010,20190117
19,003495,20190410
20,003560,20190211
21,003850,20190322
22,004060,20190612
23,004270,20190514
24,004720,20190104
25,004770,20190909
26,004830,20190704
27,004870,20190822
28,004980,20190130
29,005110,20190220 20190916
30,005320,20190625
31,005360,20190708
32,005390,20190708
33,005420,20190129
34,005690,20190124
35,005740,20190208
36,006090,20190816
37,006890,20190723
38,006980,20190319 20190423 20190917
39,007110,20190619 20190910
40,007210,20190910
41,007460,20190308
42,007540,20190509 20190805
43,008040,20190221
44,008350,20190516
45,008420,20190107
46,008700,20190503
47,008730,20190725
48,008775,20190829
49,009290,20190624
50,009320,20190617 20190924
51,009410,20190123 20190527
52,009680,20190118 20190313
53,010100,20190906 20190919
54,010420,20190627
55,010660,20190627
56,011150,20190416 20190422 20190814
57,011280,20190507 20190508
58,011390,20190910
59,012160,20190212
60,012450,20190813
61,012610,20190726
62,012690,20190806
63,012800,20190426 20190509
64,013700,20190131
65,014130,20190416
66,014580,20190531 20190604 20190607 20190809 20190918 20190920
67,014820,20190418
68,014910,20190114
69,014990,20190517
70,016740,20190321
71,017550,20190426
72,017900,20190318
73,017940,20190313
74,020120,20190702
75,020560,20190412 20190416
76,021050,20190426 20190510
77,023350,20190116
78,023800,20190121
79,025560,20190620 20190724
80,026890,20190827
81,027740,20190418 20190918
82,030720,20190806
83,030790,20190405
84,031820,20190617
85,032560,20190116
86,033250,20190603 20190920
87,036580,20190925
88,037560,20190208
89,068290,20190110
90,070960,20190131 20190201
91,074610,20190522
92,078520,20190220
93,081000,20190718
94,084680,20190516 20190807
95,084870,20190806
96,090370,20190409
97,092780,20190121
98,093370,20190703
99,096760,20190716
100,097230,20190423
101,100220,20190514
102,102280,20190730
103,105840,20190207 20190822
104,119650,20190308
105,133820,20190104 20190426
106,138490,20190719
107,144620,20190118
108,155660,20190218
109,180640,20190408
110,192650,20190429
111,234080,20190327
112,267850,20190411 20190530
113,271980,20190104
114,298690,20190411 20190412 20190704
115,000440,20190917
116,005290,20190701
