,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio,obv,date,open_,low,high,close,volume,range_position,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
0,000080,20190424,1.0,종       합,421.0,日 불매운동 관련주,하이트진로,201904,20190708,0,20180501,20190424,20180430,20190331,20180928,20190419,20190414,0.040507428636609916,per_vol,1,0.004080973564890068,0.005235178372829156,3.2851398750962446e-05,0.007657740895999087,-0.00023296831779165598,7.753728576724556e-05,0.001919240311403884,-0.00032296746228648016,-0.05765618672826304,-8.161519377192232e-05,-0.001217212764137223,0.040507428636609916,0.017553340747711525,-0.05773780192203496,-0.0015401802264237033,4393838.0,20190424,18750,18700,19700,19600,2091395,0.9,0.7,0.7,1.0,0,0,5,0
1,000140,20190708,1.0,종       합,421.0,日 불매운동 관련주,하이트진로홀딩스,201907,20190729,1,20180801,20190708,20180731,20190630,20181214,20190705,20190628,0.012062825871504288,for_reg_vol,1,0.005641142758650407,0.0018712888352652216,0.00038234153488171674,2.1889946998750376e-05,-0.0005659499289007627,0.0,0.0023608394019045977,-0.024453311500840264,0.012062825871504288,-6.502348429353212e-05,1.78394449950446e-05,0.0027261171198345326,0.009729391993794976,0.011997802387210755,-0.02443547205584522,4946222.0,20190708,10350,10050,11700,11000,2754189,0.5757575757575758,0.8500000000000001,0.8,1.0,0,0,5,0
2,000140,20190729,1.0,종       합,421.0,日 불매운동 관련주,하이트진로홀딩스,201907,20190416,0,20180801,20190729,20180731,20190630,20190104,20190726,20190719,0.016019089067953636,com_vol,1,0.011484552074805015,0.001966647994139699,0.00038234153488171674,0.0002992200629120524,-0.0005659499289007627,0.0,0.0024344378851208688,-0.02568048433662257,0.007352824578790882,-2.3915198000603266e-05,1.78394449950446e-05,0.0023324858878786573,0.016019089067953636,0.007328909380790278,-0.025662644891627527,8821829.0,20190729,9310,9260,12000,12000,6291621,1.0,0.8500000000000001,0.55,1.0,0,0,5,0
3,000150,20190416,1.0,종       합,111.0,지주사,두산,201904,20190726,0,20180501,20190416,20180430,20190331,20180921,20190412,20190406,0.011377995642701526,samo_vol,1,0.011377995642701526,0.004154986686032438,-0.0009756112321471799,-0.009473311546840958,-0.000670721374969741,-0.0006679980634229,-0.005125695957395304,-0.0002667029774872912,0.000990075042362624,5.301379811183733e-05,0.004267913338174776,-0.0036639433551198257,0.0028875574921326556,0.0010430888404744615,0.004001210360687485,163206.0,20190416,113000,103000,113000,106500,369716,0.35,0.5,0.3,0.0,0,0,0,5
4,000150,20190726,1.0,종       합,111.0,지주사,두산,201907,20191106,0,20180801,20190726,20180731,20190630,20181228,20190719,20190716,0.04364651416122004,com_vol,1,0.0164320987654321,0.00423160251755023,0.008634229000242072,0.004311244250786735,-0.0011937787460663278,-0.00013217138707334787,0.005446441539578795,0.0005784918905833938,-0.0017868554829339144,0.00031251512950859355,0.005916848220769789,-0.04275066569837812,0.04364651416122004,-0.0014743403534253207,0.006495340111353183,-478045.0,20190726,98300,98000,103500,103000,256734,0.9090909090909091,0.0,0.7,0.2,1,1,1,4
5,000230,20191106,1.0,종       합,111.0,지주사,일동홀딩스,201911,20190510,0,20181201,20191106,20181130,20191031,20190412,20191101,20191027,0.017017904207943288,per_vol,1,-0.0003597200763428156,6.643642642915568e-05,0.00017140779787330727,0.0011547759701899482,0.0,9.088430428065073e-08,0.0009816413705353085,-0.013127783331818596,-0.005888939380169045,-1.581386894483323e-05,0.0,0.017017904207943288,0.002014632372989185,-0.005904753249113878,-0.013127783331818596,2793226.0,20191106,11300,11300,14800,12350,2726546,0.3,0.3,0.44999999999999996,0.0,0,0,0,5
6,000300,20190510,1.0,종       합,242.0,탄소나노튜브(CNT),대유플러스,201905,20190725,0,20180601,20190510,20180531,20190430,20181012,20190503,20190430,0.020825431341455307,per_vol,1,-0.014518122513317697,0.00023797134202504963,0.0004959500906837843,-0.0001410299019095821,0.0,0.0,0.0001097511181168159,0.00028321827729297034,-0.007493728100578287,0.00020055834623163772,0.0,0.020825431341455307,-0.013815479864401629,-0.00729316975434665,0.00028321827729297034,45784950.0,20190510,977,976,1150,1105,24466548,0.7413793103448276,0.7,0.7,1.0,0,0,5,0
7,000390,20190725,1.0,종       합,330.0,페인트,삼화페인트,201907,20190903,0,20180801,20190725,20180731,20190630,20181228,20190719,20190715,0.03588233291728129,etcom_vol,1,-0.008108287000264761,0.006828700026476039,-0.0049293467982904045,-0.003204092439199667,-1.891145656038428e-06,-0.0005348538144407882,-0.021067097847876245,0.03588233291728129,-0.0009114943832974015,0.000675101176292598,-0.0008697378872120731,-0.0037593328038125497,-0.031886606906463937,-0.00023639320700480351,0.03501259503006922,4048064.0,20190725,6080,5930,7200,6220,7132395,0.2283464566929134,0.15,0.2,0.0,0,0,0,5
8,000400,20190903,1.0,종       합,164.0,손해보험,롯데손해보험,201909,20190212,0,20181001,20190903,20180930,20190831,20190208,20190830,20190824,0.01013178941534337,per_vol,1,-0.0015807318519282325,-0.0010068828624458651,-1.6585249535986802e-05,-0.001260140621777686,-8.248156836461126e-05,5.9500025778511036e-05,-0.009773948236749845,0.0007004762579913384,0.0028017278047020003,1.9569112188080015e-05,7.707774798927613e-06,0.01013178941534337,-0.013653562590224788,0.0028212969168900804,0.000708184032790266,7289426.0,20190903,1845,1830,2355,2355,11804647,1.0,0.15,0.0,0.0,0,0,0,5
9,000430,20190212,1.0,종       합,386.0,수소차,대원강업,201902,20190226,1,20180301,20190212,20180228,20190131,20180720,20190208,20190202,0.001222225806451613,per_vol,0,-0.00024998387096774195,2.6629032258064515e-05,0.00015335483870967742,0.00023711290322580645,0.0,3.0306451612903226e-05,3.97741935483871e-05,-0.002212338709677419,0.0011483709677419355,-0.00041325806451612904,1.7806451612903224e-05,0.001222225806451613,0.000255,0.0007351129032258064,-0.0021945322580645163,7665693.0,20190212,4940,4935,5850,4990,5374431,0.060109289617486336,0.3,1.0,0.8500000000000001,1,0,5,0
