,date,shcode,obv
155,20190424,000080,4393838.0
205,20190708,000140,4946222.0
220,20190729,000140,8821829.0
149,20190416,000150,163206.0
219,20190726,000150,-478045.0
227,20191106,000230,2793226.0
165,20190510,000300,45784950.0
218,20190725,000390,4048064.0
228,20190903,000400,7289426.0
105,20190212,000430,7665693.0
115,20190226,000430,16725526.0
154,20190423,000885,2087446.0
159,20190430,000885,1840304.0
244,20190927,000885,3144900.0
140,20190403,000890,753522718.0
168,20190515,000890,806293136.0
171,20190520,000890,891980513.0
230,20190905,000890,1062392663.0
87,20190114,000910,18462837.0
88,20190115,000910,26137004.0
166,20190513,000910,40422828.0
172,20190521,000910,43741605.0
173,20190522,000910,57928161.0
174,20190523,000910,84874375.0
228,20190808,000910,94748316.0
229,20190809,000910,106408212.0
230,20190812,000910,119979814.0
191,20190618,000970,9497351.0
192,20190619,000970,18598255.0
194,20190621,000970,30264605.0
152,20190419,000990,-5186919.0
153,20190422,001045,769797.0
125,20190313,001140,3611916.0
128,20190318,001140,3819807.0
192,20190619,001140,20310789.0
226,20191105,001140,69315343.0
226,20191105,001210,10628328.0
228,20191107,001210,19837316.0
182,20190604,001340,28151296.0
236,20190917,001340,43892573.0
155,20190424,001360,22979067.0
241,20190828,001360,68005489.0
234,20191016,001360,123759950.0
245,20191031,001360,187357835.0
246,20191101,001360,244885784.0
229,20191205,001360,282015633.0
63,20181206,001380,24963273.0
106,20190213,001380,111709268.0
187,20190612,001380,140616127.0
189,20190614,001380,153723239.0
244,20190927,001440,-60484211.0
86,20190111,001550,7468866.0
87,20190114,001550,9977646.0
163,20190508,001550,12803704.0
170,20190517,001550,14821714.0
80,20190103,001740,21310146.0
149,20190416,001740,65977421.0
151,20190418,001745,505015.0
243,20190830,001770,854211.0
238,20190919,001790,1726628.0
239,20190920,001790,2747097.0
211,20190716,001820,1062205.0
230,20190905,001820,4703113.0
204,20190705,002020,611649.0
237,20190822,002020,2580528.0
232,20191014,002020,3172472.0
218,20190725,002070,3681622.0
219,20190726,002070,5856010.0
236,20191018,002070,10737336.0
237,20191021,002070,13199598.0
238,20191022,002070,15577486.0
61,20181204,002100,19409580.0
87,20190114,002100,34844422.0
146,20190411,002100,83036167.0
163,20190508,002100,91128001.0
170,20190517,002100,97315437.0
192,20190619,002100,101689098.0
235,20190916,002100,103388471.0
186,20190611,002140,40025018.0
187,20190612,002140,59084236.0
194,20190621,002140,110638309.0
201,20190702,002140,128307279.0
234,20190819,002140,148133323.0
235,20190820,002140,162388072.0
230,20190905,002140,201679946.0
230,20191111,002140,302754386.0
68,20181213,002150,14732570.0
89,20190116,002150,25906197.0
97,20190128,002150,41880806.0
95,20190124,002210,-4726952.0
156,20190425,002210,11428968.0
158,20190429,002210,21816775.0
159,20190430,002210,40786060.0
189,20190614,002210,33834940.0
197,20190626,002210,40174058.0
243,20190926,002210,69020199.0
143,20190408,002320,1770890.0
89,20190116,002360,27482581.0
148,20190415,002360,77364757.0
235,20190916,002360,317913853.0
227,20190807,002450,33569440.0
155,20190424,002630,167072261.0
