,date,open_,low,high,close,volume,range_position,shcode,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
7,20190424,18750,18700,19700,19600,2091395,0.9,000080,0.7,0.7,1.0,0,0,5,0
6,20190708,10350,10050,11700,11000,2754189,0.5757575757575758,000140,0.8500000000000001,0.8,1.0,0,0,5,0
6,20190729,9310,9260,12000,12000,6291621,1.0,000140,0.8500000000000001,0.55,1.0,0,0,5,0
6,20190416,113000,103000,113000,106500,369716,0.35,000150,0.5,0.3,0.0,0,0,0,5
8,20190726,98300,98000,103500,103000,256734,0.9090909090909091,000150,0.0,0.7,0.2,1,1,1,4
7,20191106,11300,11300,14800,12350,2726546,0.3,000230,0.3,0.44999999999999996,0.0,0,0,0,5
6,20190510,977,976,1150,1105,24466548,0.7413793103448276,000300,0.7,0.7,1.0,0,0,5,0
8,20190725,6080,5930,7200,6220,7132395,0.2283464566929134,000390,0.15,0.2,0.0,0,0,0,5
6,20190903,1845,1830,2355,2355,11804647,1.0,000400,0.15,0.0,0.0,0,0,0,5
3,20190212,4940,4935,5850,4990,5374431,0.060109289617486336,000430,0.3,1.0,0.8500000000000001,1,0,5,0
6,20190226,5230,5220,6220,5450,9286773,0.23,000430,0.3,1.0,1.0,0,0,5,0
6,20190423,48300,48200,61700,53400,1036860,0.3851851851851852,000885,0.3,0.8500000000000001,0.6499999999999999,0,0,5,0
6,20190430,39950,37500,47500,44150,804829,0.665,000885,0.3,0.8500000000000001,0.7,0,0,5,0
8,20190927,35800,34000,40950,38550,762045,0.6546762589928058,000885,1.0,0.0,0.3,0,0,0,5
7,20190403,1540,1535,1735,1635,21477604,0.5,000890,1.0,0.0,1.0,0,1,3,2
6,20190515,1205,1190,1550,1550,81894808,1.0,000890,1.0,0.0,0.3,0,0,0,5
6,20190520,1770,1605,1795,1625,105005491,0.10526315789473684,000890,1.0,0.0,0.15,0,0,0,5
8,20190905,1155,1155,1320,1220,72872933,0.3939393939393939,000890,0.15,0.3,0.0,0,0,0,5
6,20190114,4000,3940,5110,5110,4461047,1.0,000910,0.0,0.35,0.0,0,0,0,5
6,20190115,5300,5110,5740,5390,7674167,0.4444444444444444,000910,0.0,0.35,0.0,0,0,0,5
5,20190513,4245,4240,5300,4810,6033891,0.5377358490566038,000910,0.8500000000000001,1.0,1.0,0,0,0,5
6,20190521,5500,5360,5670,5670,5721902,1.0,000910,0.8500000000000001,1.0,1.0,0,0,0,5
7,20190522,6320,5950,6770,6200,14186556,0.3048780487804878,000910,0.8500000000000001,1.0,1.0,0,0,0,5
8,20190523,6800,5980,7790,7000,26946214,0.56353591160221,000910,0.8500000000000001,1.0,1.0,0,0,0,5
8,20190808,5060,4495,5440,4670,7130643,0.18518518518518517,000910,0.8,0.0,0.8500000000000001,0,1,3,2
8,20190809,5970,5170,5980,5330,11659896,0.19753086419753085,000910,0.8,0.0,0.8500000000000001,0,1,3,2
6,20190812,5980,5520,6300,5800,13571602,0.358974358974359,000910,0.8,0.3,1.0,0,1,2,3
6,20190618,10250,10000,13050,11350,7598407,0.4426229508196721,000970,0.8500000000000001,0.3,0.3,0,1,0,5
7,20190619,11550,11350,13500,12400,9100904,0.4883720930232558,000970,0.8500000000000001,0.3,0.3,0,1,0,5
8,20190621,13300,13100,14950,13600,9939334,0.2702702702702703,000970,0.8500000000000001,0.3,0.3,0,1,0,5
8,20190419,13800,13700,15650,14800,2393462,0.5641025641025641,000990,0.3,0.5,1.0,0,0,5,0
6,20190422,63300,61600,76600,67500,467672,0.3933333333333333,001045,0.3,1.0,1.0,0,0,5,0
7,20190313,30150,26200,30150,27300,1303767,0.27848101265822783,001140,0.0,0.6,0.5,0,0,5,0
6,20190318,23200,22700,29700,29700,1060965,1.0,001140,0.0,0.6499999999999999,0.7,0,0,5,0
7,20190619,2800,2670,3535,3535,10682501,1.0,001140,0.4,0.5,0.0,0,0,0,5
6,20191105,3680,3670,4580,4005,10395018,0.36813186813186816,001140,0.3,0.15,1.0,0,1,2,3
6,20191105,3190,3185,3815,3400,11673447,0.3412698412698413,001210,0.0,0.6,0.0,0,0,0,5
8,20191107,3190,3060,4020,3560,11940970,0.5208333333333334,001210,0.0,0.6,0.0,0,0,0,5
6,20190604,3010,3005,3340,3045,15783253,0.11940298507462686,001340,0.7,0.3,1.0,0,0,5,0
4,20190917,2895,2710,3125,3055,13415831,0.8313253012048193,001340,0.5,0.0,0.0,0,0,0,5
7,20190424,2900,2880,3470,3150,14966828,0.4576271186440678,001360,0.0,0.3,0.3,0,1,2,3
7,20190828,2645,2580,3140,3010,21889792,0.7678571428571429,001360,0.35,0.0,0.0,0,0,0,5
6,20191016,2970,2935,3770,3460,44665020,0.6287425149700598,001360,0.35,0.5,0.6499999999999999,1,0,5,0
8,20191031,3375,3330,4290,4000,47080788,0.6979166666666666,001360,0.35,0.6499999999999999,0.8500000000000001,0,0,5,0
8,20191101,4030,3830,4815,4380,57527949,0.5583756345177665,001360,0.5,0.6499999999999999,0.8500000000000001,0,0,5,0
8,20191205,3985,3615,4945,4585,31195931,0.7293233082706767,001360,0.6499999999999999,1.0,1.0,0,0,5,0
8,20181206,1705,1705,2210,2210,22403474,1.0,001380,0.0,0.3,0.0,0,0,0,5
4,20190213,2670,2670,3065,2805,13565092,0.34177215189873417,001380,0.5,0.15,1.0,0,0,5,0
6,20190612,2075,2070,2500,2275,13920771,0.47674418604651164,001380,0.7,0.0,0.0,0,0,0,5
7,20190614,2215,2215,2610,2375,15746266,0.4050632911392405,001380,0.7,0.0,0.0,0,0,0,5
8,20190927,590,582,689,635,31603613,0.4953271028037383,001440,0.0,0.5,0.0,0,0,0,5
7,20190111,25750,25700,30400,28350,1024898,0.5638297872340425,001550,0.5,0.5,0.15,0,0,0,5
6,20190114,29400,28400,33300,31650,2508780,0.6632653061224489,001550,0.5,0.6,0.0,0,0,0,5
5,20190508,23200,23150,27800,25500,2642836,0.5053763440860215,001550,0.35,0.35,0.0,0,0,0,5
8,20190517,22850,22800,27700,26500,2884468,0.7551020408163265,001550,0.35,0.3,0.0,0,0,0,5
5,20190103,5260,5220,5560,5490,4795141,0.7941176470588235,001740,0.5,1.0,1.0,1,0,3,2
6,20190416,6240,6210,7190,6430,26520949,0.22448979591836735,001740,1.0,0.5,1.0,0,0,5,0
8,20190418,105000,95000,153000,150000,410166,0.9482758620689655,001745,0.5,0.44999999999999996,1.0,0,0,5,0
8,20190830,27900,27750,33900,31200,819625,0.5609756097560976,001770,0.7,0.0,0.15,0,1,2,3
6,20190919,23650,22350,26100,22350,1654360,0.0,001790,0.5,0.3,0.0,0,0,0,5
6,20190920,22000,20350,25700,23800,1020469,0.6448598130841121,001790,0.5,0.3,0.0,0,0,0,5
6,20190716,47450,47450,55500,53300,2336648,0.7267080745341615,001820,0.0,0.0,0.0,0,0,0,5
8,20190905,45500,45300,48950,47300,766436,0.547945205479452,001820,0.0,0.0,0.0,0,0,0,5
8,20190705,17950,17800,22700,19800,1277286,0.40816326530612246,002020,0.15,0.0,0.0,0,0,0,5
7,20190822,15650,15400,19200,17550,2640014,0.5657894736842105,002020,0.15,0.0,0.0,0,0,0,5
5,20191014,18450,18450,20750,19750,1737133,0.5652173913043478,002020,0.0,1.0,0.0,0,0,0,5
8,20190725,13250,12600,15450,15450,3108737,1.0,002070,0.8500000000000001,1.0,1.0,0,0,5,0
8,20190726,16450,15500,20050,20050,2174388,1.0,002070,0.8500000000000001,1.0,1.0,0,0,5,0
7,20191018,16000,15300,20650,20650,1570510,1.0,002070,1.0,0.0,1.0,0,0,5,0
6,20191021,22800,22700,26800,26800,2462262,1.0,002070,1.0,0.3,1.0,0,0,5,0
6,20191022,27500,26600,34400,28550,2377888,0.25,002070,1.0,0.3,1.0,0,0,5,0
6,20181204,10350,10150,11550,10900,3574244,0.5357142857142857,002100,0.5,0.4,0.0,0,0,0,5
6,20190114,12600,12350,15850,15850,7934004,1.0,002100,0.6,1.0,0.3,1,0,2,3
8,20190411,15700,15600,17650,16750,3014185,0.5609756097560976,002100,0.8500000000000001,0.3,1.0,0,1,3,2
5,20190508,16900,16850,19500,17450,8118467,0.22641509433962265,002100,1.0,0.7,1.0,0,0,0,5
8,20190517,16150,15900,18800,17450,4816899,0.5344827586206896,002100,1.0,0.8,1.0,0,0,0,5
7,20190619,17400,17350,19250,18650,2507353,0.6842105263157895,002100,1.0,1.0,0.5,1,0,1,4
4,20190916,15400,15300,16900,16250,1553577,0.59375,002100,0.3,0.7,0.0,0,0,0,5
5,20190611,2320,2305,3005,3005,19160885,1.0,002140,0.7,0.15,0.7,0,1,2,3
6,20190612,3245,3050,3445,3230,19059218,0.45569620253164556,002140,0.7,0.15,0.7,0,1,2,3
8,20190621,3035,2995,3925,3925,45190852,1.0,002140,0.7,0.3,0.8,1,1,2,3
6,20190702,3225,3225,4055,3910,35099144,0.8253012048192772,002140,0.8500000000000001,0.7,0.8500000000000001,1,0,3,2
5,20190819,2800,2755,3190,3010,7627389,0.5862068965517241,002140,1.0,0.15,1.0,0,0,5,0
5,20190820,3015,2985,3425,3200,14254749,0.48863636363636365,002140,1.0,0.15,1.0,0,0,5,0
8,20190905,3340,3310,4340,4340,29811263,1.0,002140,1.0,0.3,1.0,0,0,5,0
6,20191111,3670,3650,4135,3865,6882652,0.44329896907216493,002140,1.0,0.3,0.7,0,0,5,0
8,20181213,8470,8390,9460,9180,2870158,0.7383177570093458,002150,0.6,0.5,0.7,1,0,1,4
7,20190116,10400,10000,12650,12650,7923801,1.0,002150,0.6499999999999999,0.8,1.0,0,0,5,0
6,20190128,12900,12800,15850,14950,10163693,0.7049180327868853,002150,0.6499999999999999,0.8500000000000001,1.0,0,0,5,0
8,20190124,15350,15350,18250,16800,6944189,0.5,002210,0.7,0.0,0.0,0,0,0,5
8,20190425,17600,17600,21900,20150,11225442,0.5930232558139535,002210,0.15,0.0,0.0,0,0,0,5
6,20190429,20000,19900,24950,24950,13935420,1.0,002210,0.15,0.3,0.0,1,0,1,4
6,20190430,26700,25450,30900,28150,18969285,0.4954128440366973,002210,0.15,0.3,0.0,1,0,1,4
7,20190614,18300,18200,23650,23650,6147485,1.0,002210,0.5,0.5,1.0,0,0,5,0
7,20190626,20200,20200,24400,22400,13689032,0.5238095238095238,002210,0.5,0.6499999999999999,1.0,0,0,5,0
